product_name,product_price,product_url,product_size,product_id,category,page_number
Bramwells Express Pasta With Macaroni Cheese Sauce 110g,0.45,https://groceries.aldi.co.uk/en-GB/p-bramwells-express-pasta-with-macaroni-cheese-sauce-110g/4088600353210,110g,4088600353210,food-cupboard,12
Bramwells Express Pasta With Cheese & Broccoli Sauce 110g,0.45,https://groceries.aldi.co.uk/en-GB/p-bramwells-express-pasta-with-cheese-broccoli-sauce-110g/4088600353227,110g,4088600353227,food-cupboard,12
Bramwells Express Pasta With Chicken & Mushroom Sauce 110g,0.45,https://groceries.aldi.co.uk/en-GB/p-bramwells-express-pasta-with-chicken-mushroom-sauce-110g/4088600353241,110g,4088600353241,food-cupboard,12
Cucina Tomato & Smoked Bacon Stir In Pasta Sauce 150g,0.85,https://groceries.aldi.co.uk/en-GB/p-cucina-tomato-smoked-bacon-stir-in-pasta-sauce-150g/4088600353869,150g,4088600353869,food-cupboard,12
Belmont Seal Mint Bars 202.4g,1.09,https://groceries.aldi.co.uk/en-GB/p-belmont-seal-mint-bars-2024g/4088600355535,202,4088600355535,food-cupboard,12
Harvest Morn Crispy Chunks Marshmallow 112g/4 Pack,1.35,https://groceries.aldi.co.uk/en-GB/p-harvest-morn-crispy-chunks-marshmallow-112g4-pack/4088600356518,112g,4088600356518,food-cupboard,12
Solesta Sunflower Spray Light 190ml,1.39,https://groceries.aldi.co.uk/en-GB/p-solesta-sunflower-spray-light-190ml/4088600360591,190ml,4088600360591,food-cupboard,12
Solesta Spray Light Olive Oil 190ml,1.39,https://groceries.aldi.co.uk/en-GB/p-solesta-spray-light-olive-oil-190ml/4088600360607,190ml,4088600360607,food-cupboard,12
Ready Set…Cook! Thai Red Curry Kit 253g,1.99,https://groceries.aldi.co.uk/en-GB/p-ready-setcook-thai-red-curry-kit-253g/4088600294292,253g,4088600294292,food-cupboard,12
Ready Set…Cook! Pad Thai Meal Kit 265g,1.99,https://groceries.aldi.co.uk/en-GB/p-ready-setcook-pad-thai-meal-kit-265g/4088600294308,265g,4088600294308,food-cupboard,12
Ready Set…Cook! Thai Green Curry Kit 253g,1.99,https://groceries.aldi.co.uk/en-GB/p-ready-setcook-thai-green-curry-kit-253g/4088600294285,253g,4088600294285,food-cupboard,12
Bramwells Classic Chicken In White Sauce 400g,1.89,https://groceries.aldi.co.uk/en-GB/p-bramwells-classic-chicken-in-white-sauce-400g/4088600342559,400g,4088600342559,food-cupboard,12
Bramwells Classic Irish Stew 400g,1.99,https://groceries.aldi.co.uk/en-GB/p-bramwells-classic-irish-stew-400g/4088600342566,400g,4088600342566,food-cupboard,12
Belmont Biscuits Smooth Biscuit Spread 400g,1.99,https://groceries.aldi.co.uk/en-GB/p-belmont-biscuits-smooth-biscuit-spread-400g/4088600331584,400g,4088600331584,food-cupboard,12
Belmont Biscuits Crunchy Biscuit Spread 400g,1.99,https://groceries.aldi.co.uk/en-GB/p-belmont-biscuits-crunchy-biscuit-spread-400g/4088600339795,400g,4088600339795,food-cupboard,12
Asia Specialities Light Soy Sauce 150ml,0.59,https://groceries.aldi.co.uk/en-GB/p-asia-specialities-light-soy-sauce-150ml/4088600370576,150ml,4088600370576,food-cupboard,12
Asia Specialities Dark Soy Sauce 150ml,0.59,https://groceries.aldi.co.uk/en-GB/p-asia-specialities-dark-soy-sauce-150ml/4088600370552,150ml,4088600370552,food-cupboard,12
The Fishmonger Tuna Chunks In Sunflower Oil 4x145g (4x102g Drained),2.69,https://groceries.aldi.co.uk/en-GB/p-the-fishmonger-tuna-chunks-in-sunflower-oil-4x145g-4x102g-drained/4088600300252,4x145g ,4088600300252,food-cupboard,12
Harvest Morn Crunchy Maple Syrup Granola Bars 5x42g,1.25,https://groceries.aldi.co.uk/en-GB/p-harvest-morn-crunchy-maple-syrupgranola-bars-5x42g/4088600325217,5x42g,4088600325217,food-cupboard,12
Harvest Morn Crunchy Oats & Honey Granola Bars 5x42g,1.25,https://groceries.aldi.co.uk/en-GB/p-harvest-morn-crunchy-oats-honey-granola-bars-5x42g/4088600325224,5x42g,4088600325224,food-cupboard,12
Gianni's Cookies & Cream Mini Bites Ice Cream 6x36ml,2.99,https://groceries.aldi.co.uk/en-GB/p-giannis-cookies-cream-mini-bites-ice-cream-6x36ml/4088600558301,6x36ml,4088600558301,frozen,12
